sex,age,place_birth_canada,n,bornin_canada
Female,15,Born in Canada,2,Yes
Female,15,Born outside Canada,1,No
Female,15,Born in Canada,1,Yes
Female,15,Born outside Canada,2,No
Female,15,Born in Canada,8,Yes
Female,15,Born in Canada,10,Yes
Female,15,Born in Canada,1,Yes
Female,15,Born outside Canada,1,No
Female,15,Born in Canada,8,Yes
Female,15,Born in Canada,5,Yes
Female,15,Born outside Canada,1,No
Female,15,Born in Canada,1,Yes
Female,15,Born in Canada,11,Yes
Female,15,Born in Canada,1,Yes
Female,15,Born outside Canada,1,No
Female,16,Born in Canada,7,Yes
Female,16,Born outside Canada,1,No
Female,16,Born in Canada,2,Yes
Female,16,Born in Canada,5,Yes
Female,16,Born in Canada,10,Yes
Female,16,Born outside Canada,1,No
Female,16,Don't know,1,NA
Female,16,Born in Canada,6,Yes
Female,16,Born in Canada,5,Yes
Female,16,Born in Canada,5,Yes
Female,16,Born outside Canada,1,No
Female,16,Born in Canada,7,Yes
Female,16,Born outside Canada,2,No
Female,16,Born in Canada,12,Yes
Female,16,Born outside Canada,2,No
Female,16,Don't know,1,NA
Female,16,Born in Canada,8,Yes
Female,17,Born in Canada,6,Yes
Female,17,Born outside Canada,3,No
Female,17,Born in Canada,8,Yes
Female,17,Born outside Canada,1,No
Female,17,Born in Canada,4,Yes
Female,17,Born in Canada,11,Yes
Female,17,Born in Canada,6,Yes
Female,17,Born outside Canada,1,No
Female,17,Born in Canada,9,Yes
Female,17,Born in Canada,6,Yes
Female,17,Born outside Canada,3,No
Female,17,Born in Canada,3,Yes
Female,17,Born in Canada,11,Yes
Female,17,Born in Canada,5,Yes
Female,17,Born outside Canada,3,No
Female,18,Born in Canada,5,Yes
Female,18,Born outside Canada,2,No
Female,18,Born in Canada,3,Yes
Female,18,Born in Canada,3,Yes
Female,18,Born in Canada,8,Yes
Female,18,Born in Canada,3,Yes
Female,18,Born outside Canada,1,No
Female,18,Born in Canada,5,Yes
Female,18,Born in Canada,7,Yes
Female,18,Born outside Canada,3,No
Female,18,Born in Canada,2,Yes
Female,18,Born outside Canada,1,No
Female,18,Born in Canada,9,Yes
Female,18,Born outside Canada,3,No
Female,18,Born in Canada,3,Yes
Female,18,Born outside Canada,4,No
Female,19,Born in Canada,1,Yes
Female,19,Born in Canada,5,Yes
Female,19,Born outside Canada,2,No
Female,19,Born in Canada,5,Yes
Female,19,Born outside Canada,1,No
Female,19,Born in Canada,7,Yes
Female,19,Born outside Canada,2,No
Female,19,Born in Canada,5,Yes
Female,19,Born outside Canada,2,No
Female,19,Born in Canada,5,Yes
Female,19,Born in Canada,2,Yes
Female,19,Born in Canada,5,Yes
Female,19,Born outside Canada,2,No
Female,19,Born in Canada,10,Yes
Female,19,Born outside Canada,5,No
Female,19,Born in Canada,8,Yes
Female,19,Don't know,1,NA
Female,20,Born in Canada,2,Yes
Female,20,Born in Canada,6,Yes
Female,20,Born outside Canada,2,No
Female,20,Born in Canada,1,Yes
Female,20,Born outside Canada,1,No
Female,20,Born in Canada,6,Yes
Female,20,Born outside Canada,1,No
Female,20,Born in Canada,3,Yes
Female,20,Born in Canada,3,Yes
Female,20,Born outside Canada,1,No
